80, 80
20, 63, 891
35, 16, 891
35, 66, 895
73, 5, 895
60, 79, 892
15, 2, 999
69, 30, 894
58, 37, 898
4, 70, 898
16, 80, 999
11, 74, 893
17, 20, 898
32, 47, 892
29, 68, 894
14, 36, 888
16, 79, 999
27, 25, 894
74, 22, 894
35, 70, 892
16, 2, 999
41, 39, 891
14, 62, 891
32, 18, 891
33, 20, 896
42, 57, 897
20, 36, 897
17, 80, 999
15, 21, 894
19, 8, 892
9, 32, 897
17, 79, 999
69, 67, 896
57, 70, 897
55, 45, 893
33, 50, 892
19, 75, 893
30, 50, 891
31, 37, 888
23, 46, 890
17, 2, 999
72, 7, 889
24, 17, 895
62, 11, 898
77, 77, 895
76, 55, 893
18, 80, 999
17, 7, 893
52, 31, 894
12, 31, 893
17, 61, 895
3, 47, 892
76, 7, 897
12, 65, 890
8, 29, 898
45, 25, 895
18, 79, 999
14, 3, 894
60, 51, 892
31, 3, 892
4, 57, 898
51, 24, 898
18, 2, 999
27, 63, 892
39, 6, 896
64, 77, 888
78, 40, 889
21, 48, 895
68, 26, 891
33, 59, 888
78, 47, 898
74, 12, 888
19, 80, 999
77, 9, 890
39, 20, 891
63, 54, 889
49, 22, 893
77, 27, 896
62, 35, 889
6, 73, 897
30, 20, 889
49, 28, 893
53, 13, 895
19, 79, 999
53, 41, 894
17, 31, 891
19, 54, 891
34, 57, 896
52, 14, 895
30, 15, 891
19, 2, 999
58, 5, 888
46, 38, 890
61, 19, 898
20, 80, 999
15, 50, 890
16, 57, 893
22, 47, 896
6, 22, 898
24, 73, 890
11, 11, 894
39, 27, 895
19, 46, 895
67, 20, 898
15, 51, 889
20, 79, 999
78, 11, 889
56, 9, 889
2, 54, 893
20, 51, 889
67, 32, 889
6, 62, 894
67, 60, 898
25, 8, 888
43, 26, 898
70, 7, 891
20, 2, 999
40, 75, 896
48, 42, 898
18, 32, 896
22, 73, 895
73, 20, 897
68, 55, 898
67, 46, 888
74, 29, 897
45, 64, 892
52, 23, 888
21, 80, 999
3, 20, 892
9, 43, 891
4, 78, 889
61, 13, 897
21, 79, 999
40, 62, 894
70, 43, 898
47, 53, 888
32, 15, 891
35, 58, 894
21, 2, 999
24, 75, 889
59, 41, 894
69, 15, 893
19, 50, 891
12, 65, 896
43, 67, 891
27, 40, 889
38, 7, 896
16, 48, 888
22, 80, 999
49, 79, 894
76, 4, 897
4, 54, 888
22, 79, 999
80, 76, 891
34, 28, 893
75, 53, 896
28, 27, 893
35, 63, 892
50, 27, 896
30, 14, 894
60, 45, 888
41, 25, 895
45, 72, 891
22, 2, 999
60, 77, 889
72, 19, 893
36, 21, 895
5, 5, 888
14, 59, 895
16, 17, 897
52, 46, 893
23, 80, 999
40, 3, 895
67, 62, 898
37, 25, 893
60, 10, 888
23, 79, 999
38, 61, 889
43, 36, 898
67, 2, 893
25, 77, 898
23, 2, 999
75, 26, 888
8, 47, 888
38, 40, 893
24, 80, 999
64, 36, 897
34, 67, 889
77, 28, 888
24, 79, 999
25, 3, 897
36, 65, 895
35, 75, 891
18, 20, 895
78, 5, 897
64, 55, 898
11, 74, 892
24, 2, 999
10, 9, 888
18, 42, 897
78, 53, 898
79, 30, 892
61, 13, 889
51, 38, 890
25, 80, 999
78, 48, 896
67, 68, 888
36, 10, 892
18, 57, 891
19, 23, 888
2, 80, 894
47, 8, 896
25, 79, 999
45, 52, 888
35, 67, 892
80, 46, 892
31, 8, 896
57, 67, 898
76, 70, 893
25, 2, 999
15, 65, 890
68, 56, 896
40, 48, 891
8, 25, 888
25, 19, 894
46, 66, 897
32, 46, 898
66, 62, 893
61, 45, 891
26, 80, 999
68, 26, 891
27, 51, 893
36, 39, 889
6, 55, 888
19, 3, 896
27, 41, 893
18, 51, 894
14, 50, 888
14, 24, 891
20, 76, 897
26, 79, 999
59, 35, 888
2, 36, 888
37, 33, 892
20, 57, 897
9, 40, 895
67, 43, 895
52, 58, 897
26, 2, 999
79, 5, 891
66, 54, 891
59, 24, 894
67, 44, 890
17, 72, 898
12, 11, 898
74, 39, 897
3, 71, 895
15, 52, 888
14, 72, 888
27, 80, 999
15, 71, 896
24, 77, 890
13, 55, 892
64, 37, 898
33, 36, 896
33, 24, 897
24, 36, 888
44, 44, 898
27, 25, 896
11, 46, 893
27, 79, 999
4, 48, 895
10, 33, 895
14, 13, 897
54, 61, 892
27, 2, 999
57, 64, 889
45, 8, 897
18, 30, 893
13, 23, 890
58, 56, 890
12, 36, 895
54, 75, 894
70, 22, 894
28, 80, 999
73, 54, 898
76, 51, 894
55, 36, 894
24, 64, 888
35, 21, 894
28, 25, 896
9, 8, 890
30, 28, 896
28, 79, 999
34, 47, 891
10, 17, 898
49, 22, 889
14, 46, 889
10, 6, 892
78, 33, 892
23, 62, 897
4, 63, 898
71, 2, 892
28, 2, 999
35, 53, 888
58, 16, 888
16, 74, 889
64, 52, 893
29, 80, 999
14, 75, 896
52, 56, 890
37, 49, 891
9, 73, 895
63, 69, 888
29, 79, 999
41, 9, 894
42, 39, 889
53, 27, 888
22, 34, 898
75, 17, 894
5, 67, 894
29, 2, 999
7, 71, 891
65, 74, 893
58, 62, 898
34, 5, 888
12, 70, 888
12, 52, 890
64, 34, 893
15, 29, 894
55, 75, 888
29, 12, 895
30, 80, 999
11, 44, 892
11, 19, 891
57, 79, 894
73, 61, 888
20, 10, 897
73, 71, 892
78, 38, 898
30, 79, 999
19, 40, 893
27, 32, 888
74, 8, 890
3, 26, 889
47, 36, 895
25, 65, 898
16, 19, 893
78, 24, 894
30, 2, 999
31, 18, 894
65, 64, 891
28, 5, 896
53, 79, 897
9, 45, 897
33, 29, 894
63, 44, 893
57, 9, 892
31, 80, 999
80, 30, 891
67, 3, 898
68, 45, 891
20, 44, 889
11, 38, 892
77, 71, 888
69, 70, 893
27, 63, 888
9, 77, 896
2, 19, 898
31, 79, 999
75, 48, 891
63, 27, 894
47, 20, 892
52, 68, 890
27, 67, 893
80, 27, 891
31, 2, 999
69, 53, 889
15, 26, 898
32, 41, 892
42, 7, 893
10, 43, 889
26, 68, 890
62, 8, 892
32, 80, 999
36, 11, 898
70, 53, 896
78, 46, 896
63, 2, 896
20, 80, 897
53, 15, 891
50, 79, 888
6, 14, 894
32, 79, 999
72, 36, 892
72, 21, 895
68, 67, 894
42, 57, 891
73, 69, 888
28, 21, 898
32, 2, 999
27, 35, 891
60, 62, 889
11, 78, 888
10, 5, 897
33, 80, 999
50, 40, 890
37, 20, 892
14, 50, 893
30, 36, 896
72, 48, 893
34, 33, 894
39, 50, 891
33, 79, 999
28, 8, 888
26, 70, 894
71, 18, 893
6, 64, 898
33, 2, 999
22, 56, 897
40, 77, 890
56, 11, 894
66, 12, 895
52, 24, 897
28, 22, 896
34, 80, 999
22, 30, 896
59, 23, 896
50, 63, 891
22, 64, 894
31, 80, 890
34, 79, 999
61, 65, 896
24, 47, 897
39, 80, 896
36, 7, 896
65, 2, 898
79, 22, 890
23, 71, 889
7, 43, 897
69, 73, 898
34, 2, 999
7, 25, 897
2, 60, 896
31, 5, 891
62, 79, 890
80, 26, 898
35, 80, 999
26, 12, 894
30, 39, 894
6, 54, 898
15, 18, 890
35, 79, 999
60, 67, 897
34, 64, 898
14, 30, 894
48, 41, 892
50, 23, 892
52, 37, 890
35, 2, 999
7, 12, 894
26, 62, 888
60, 20, 893
69, 34, 898
29, 28, 895
67, 2, 891
19, 14, 890
44, 51, 892
36, 80, 999
12, 42, 892
3, 44, 893
35, 45, 889
6, 54, 888
29, 48, 896
2, 72, 888
16, 43, 897
36, 79, 999
13, 19, 895
18, 17, 890
32, 75, 890
75, 47, 893
12, 28, 890
46, 61, 891
65, 50, 893
55, 41, 893
58, 12, 897
36, 2, 999
41, 13, 894
13, 14, 890
20, 12, 889
8, 41, 897
74, 73, 889
37, 80, 999
63, 50, 898
16, 33, 893
65, 55, 890
23, 46, 895
24, 55, 889
58, 68, 891
10, 70, 891
59, 38, 892
37, 79, 999
21, 65, 894
16, 32, 892
74, 26, 889
80, 50, 897
39, 48, 893
6, 63, 888
37, 2, 999
58, 26, 898
51, 74, 892
19, 14, 889
38, 66, 888
8, 28, 889
38, 80, 999
74, 49, 890
75, 41, 892
74, 26, 898
77, 58, 892
5, 52, 893
80, 57, 892
18, 22, 897
38, 79, 999
5, 36, 892
11, 40, 893
75, 25, 894
62, 32, 890
75, 71, 895
37, 4, 894
43, 59, 892
38, 2, 999
53, 44, 898
34, 51, 889
58, 62, 892
31, 42, 895
80, 44, 892
6, 18, 890
7, 42, 891
39, 80, 999
42, 41, 889
60, 35, 889
15, 34, 896
44, 10, 888
39, 79, 999
69, 45, 891
11, 19, 898
52, 77, 898
6, 8, 895
77, 69, 898
39, 2, 999
40, 76, 891
58, 39, 892
36, 53, 890
67, 77, 894
41, 42, 891
36, 75, 888
40, 80, 999
46, 78, 898
46, 2, 892
11, 58, 890
19, 58, 894
60, 40, 896
40, 79, 999
16, 29, 897
19, 47, 891
46, 77, 898
6, 50, 894
48, 29, 890
28, 31, 891
14, 75, 891
77, 15, 888
24, 58, 889
40, 2, 999
6, 21, 893
67, 11, 890
71, 23, 889
57, 12, 894
5, 74, 897
10, 41, 889
65, 4, 894
40, 73, 896
76, 60, 893
41, 80, 999
15, 32, 894
42, 19, 897
26, 35, 895
41, 79, 999
40, 75, 893
39, 10, 897
47, 63, 891
41, 2, 999
70, 42, 888
43, 33, 895
62, 74, 891
42, 80, 999
22, 44, 893
27, 17, 889
64, 63, 894
42, 79, 999
31, 61, 892
68, 48, 892
15, 69, 893
62, 55, 888
46, 32, 898
25, 53, 890
4, 37, 890
42, 2, 999
51, 68, 891
51, 75, 897
10, 39, 896
23, 73, 895
70, 28, 892
43, 80, 999
11, 25, 895
21, 49, 888
17, 80, 894
9, 3, 891
13, 16, 895
48, 60, 891
17, 28, 894
76, 58, 898
43, 79, 999
77, 48, 890
54, 64, 897
9, 27, 893
8, 42, 891
46, 75, 896
4, 30, 895
43, 14, 896
39, 21, 891
43, 2, 999
54, 31, 889
28, 29, 889
28, 4, 893
20, 70, 890
78, 53, 893
5, 60, 890
25, 76, 894
3, 40, 894
19, 2, 889
44, 80, 999
41, 53, 896
65, 24, 897
69, 37, 896
13, 17, 888
44, 79, 999
55, 22, 894
42, 39, 897
32, 57, 897
5, 22, 893
14, 37, 892
78, 6, 895
68, 12, 891
24, 28, 891
44, 2, 999
61, 39, 888
39, 28, 898
13, 20, 897
30, 17, 894
35, 37, 894
69, 51, 894
64, 58, 896
26, 39, 893
15, 33, 895
61, 58, 898
45, 80, 999
73, 64, 892
15, 60, 897
47, 13, 893
65, 67, 889
42, 59, 892
45, 79, 999
17, 47, 889
11, 41, 897
65, 67, 895
29, 13, 894
26, 49, 892
10, 15, 892
24, 10, 893
45, 2, 999
79, 41, 898
75, 50, 895
52, 46, 894
74, 14, 893
58, 38, 895
47, 58, 889
73, 13, 894
24, 9, 892
38, 67, 894
74, 52, 892
46, 80, 999
50, 56, 894
41, 36, 891
64, 64, 889
46, 79, 999
73, 18, 892
2, 80, 896
29, 74, 890
48, 54, 898
6, 7, 891
41, 33, 888
46, 2, 999
69, 69, 895
64, 17, 894
29, 14, 898
77, 77, 892
51, 12, 893
47, 80, 999
46, 77, 888
75, 52, 889
16, 35, 890
59, 18, 894
35, 29, 889
55, 40, 890
28, 64, 892
20, 31, 888
47, 79, 999
29, 70, 895
30, 67, 895
13, 63, 898
6, 44, 890
55, 46, 894
49, 21, 895
18, 62, 889
73, 77, 888
45, 27, 891
47, 2, 999
62, 54, 894
53, 34, 894
20, 14, 896
64, 6, 890
77, 50, 896
24, 26, 890
74, 25, 898
61, 51, 893
10, 49, 888
48, 80, 999
29, 44, 890
10, 42, 895
25, 7, 896
5, 55, 897
48, 79, 999
49, 28, 895
54, 12, 897
68, 74, 896
48, 2, 999
37, 75, 897
45, 47, 889
43, 64, 892
49, 80, 999
48, 33, 895
2, 80, 894
10, 28, 890
59, 65, 888
74, 11, 890
79, 26, 895
28, 17, 896
49, 79, 999
8, 62, 889
48, 26, 889
35, 15, 894
49, 35, 898
73, 8, 895
49, 2, 999
39, 72, 895
45, 69, 896
79, 19, 890
77, 72, 890
17, 43, 898
42, 56, 895
42, 60, 897
5, 48, 896
60, 71, 898
76, 45, 898
50, 80, 999
47, 63, 889
7, 21, 890
64, 65, 895
28, 72, 898
67, 57, 893
45, 30, 896
13, 44, 890
50, 79, 999
60, 73, 896
19, 44, 888
3, 60, 895
25, 71, 897
50, 2, 999
21, 27, 888
6, 75, 889
39, 39, 888
51, 80, 999
22, 34, 891
16, 12, 889
52, 8, 893
3, 78, 890
41, 53, 895
42, 13, 898
51, 79, 999
18, 27, 896
19, 26, 896
34, 2, 891
20, 75, 888
32, 66, 888
2, 63, 897
8, 70, 894
43, 7, 897
59, 3, 898
64, 9, 897
51, 2, 999
49, 77, 898
70, 41, 889
54, 55, 894
55, 72, 889
3, 60, 889
46, 9, 896
52, 80, 999
72, 38, 895
67, 56, 893
64, 65, 895
51, 37, 895
45, 68, 898
59, 77, 898
39, 67, 888
52, 79, 999
30, 26, 896
28, 7, 898
79, 76, 897
17, 50, 897
64, 20, 894
27, 44, 890
66, 11, 896
59, 5, 895
8, 73, 894
56, 43, 890
52, 2, 999
11, 37, 898
55, 67, 890
40, 29, 895
64, 17, 896
25, 37, 898
21, 16, 894
48, 54, 893
70, 12, 890
4, 58, 897
41, 22, 889
53, 80, 999
31, 44, 891
66, 24, 896
58, 37, 893
2, 14, 895
29, 47, 891
38, 35, 896
64, 58, 898
53, 79, 999
58, 26, 889
12, 56, 889
43, 2, 888
70, 31, 897
30, 55, 888
68, 38, 895
11, 44, 894
29, 22, 889
51, 12, 891
53, 2, 999
15, 8, 897
64, 73, 889
70, 19, 895
54, 80, 999
21, 62, 896
12, 47, 896
47, 72, 888
48, 76, 895
36, 32, 891
61, 79, 894
54, 79, 999
10, 60, 898
7, 11, 890
15, 20, 888
49, 44, 893
54, 2, 999
13, 41, 889
66, 48, 892
69, 77, 894
72, 65, 895
55, 80, 999
7, 60, 896
37, 36, 897
41, 63, 891
50, 38, 888
71, 13, 892
15, 45, 897
20, 16, 890
55, 79, 999
20, 6, 890
62, 10, 897
31, 24, 893
78, 25, 894
44, 16, 895
79, 20, 893
40, 12, 898
49, 32, 892
55, 2, 999
21, 16, 894
44, 53, 890
37, 77, 896
22, 36, 891
56, 80, 999
2, 13, 891
41, 13, 889
18, 47, 896
35, 11, 893
39, 10, 898
15, 27, 888
69, 55, 895
56, 33, 892
80, 2, 891
28, 23, 895
56, 79, 999
24, 56, 894
78, 24, 889
38, 66, 888
61, 68, 892
35, 50, 891
10, 60, 897
47, 56, 897
20, 12, 895
33, 55, 890
56, 2, 999
32, 30, 893
13, 32, 891
7, 61, 897
57, 80, 999
9, 76, 894
70, 64, 893
36, 30, 889
58, 77, 897
57, 46, 896
17, 14, 891
33, 14, 896
57, 79, 999
19, 76, 892
38, 39, 898
51, 4, 895
26, 45, 890
3, 54, 889
30, 50, 892
65, 26, 890
57, 2, 999
19, 45, 893
63, 4, 888
22, 77, 898
38, 46, 898
33, 24, 894
41, 5, 894
14, 33, 894
45, 24, 888
58, 80, 999
10, 53, 888
74, 61, 891
30, 31, 898
58, 79, 999
78, 11, 888
44, 71, 892
31, 60, 898
58, 2, 999
40, 75, 889
49, 43, 888
58, 59, 890
59, 80, 999
19, 78, 889
73, 21, 894
53, 35, 898
31, 65, 889
65, 45, 895
55, 48, 888
37, 27, 893
29, 52, 890
26, 52, 889
42, 67, 890
59, 79, 999
43, 34, 888
77, 72, 888
71, 50, 891
24, 70, 889
48, 49, 888
77, 12, 888
17, 47, 890
46, 36, 891
51, 71, 895
59, 2, 999
54, 11, 898
28, 67, 888
29, 15, 895
60, 80, 999
23, 9, 889
75, 57, 889
4, 62, 892
60, 79, 999
77, 47, 895
5, 69, 897
13, 35, 894
48, 44, 890
33, 6, 898
50, 34, 893
61, 25, 894
6, 2, 892
44, 3, 891
60, 2, 999
40, 68, 893
18, 36, 893
22, 34, 894
80, 15, 891
61, 80, 999
33, 43, 892
34, 7, 894
3, 25, 898
23, 6, 894
29, 76, 898
28, 43, 895
34, 26, 897
20, 24, 898
54, 26, 889
60, 39, 894
61, 79, 999
22, 70, 892
19, 28, 890
23, 10, 893
61, 2, 999
59, 6, 891
25, 55, 897
43, 9, 898
75, 73, 895
65, 4, 893
28, 28, 892
72, 72, 890
62, 80, 999
61, 78, 897
37, 20, 893
27, 24, 894
42, 79, 891
36, 66, 893
62, 79, 999
74, 29, 896
78, 44, 896
23, 11, 888
2, 43, 897
10, 33, 897
62, 2, 999
12, 74, 893
62, 30, 892
17, 51, 892
15, 65, 893
54, 23, 896
57, 19, 898
71, 36, 896
73, 4, 893
63, 80, 999
38, 79, 894
48, 23, 898
13, 34, 888
32, 26, 892
49, 57, 896
63, 79, 999
36, 55, 890
8, 9, 891
60, 62, 889
69, 51, 892
63, 2, 999
7, 45, 895
53, 45, 894
49, 50, 897
64, 80, 999
18, 27, 896
44, 70, 895
11, 14, 888
17, 56, 889
43, 23, 891
19, 51, 898
64, 79, 999
12, 19, 893
14, 22, 896
25, 3, 894
32, 70, 895
79, 32, 895
3, 16, 895
70, 13, 892
64, 2, 999
75, 26, 895
75, 58, 890
37, 68, 894
25, 15, 898
68, 69, 892
65, 80, 999
73, 57, 898
54, 70, 898
49, 43, 895
8, 30, 888
66, 64, 898
65, 79, 999
75, 68, 897
59, 18, 896
17, 34, 892
73, 32, 888
3, 72, 892
59, 78, 898
40, 27, 890
51, 40, 893
43, 64, 897
65, 2, 999
42, 77, 897
13, 6, 891
30, 5, 891
47, 77, 898
13, 49, 891
13, 18, 898
74, 63, 888
72, 45, 893
37, 24, 892
32, 22, 891
66, 80, 999
51, 79, 891
79, 46, 897
11, 36, 893
66, 79, 999
75, 57, 889
36, 79, 890
17, 14, 897
61, 43, 897
8, 38, 891
66, 2, 999
10, 4, 898
51, 47, 895
12, 7, 891
35, 30, 891
67, 80, 999
48, 11, 896
6, 33, 898
27, 55, 897
12, 4, 892
24, 70, 893
68, 79, 893
36, 40, 888
63, 39, 892
67, 79, 999
61, 58, 894
74, 57, 897
40, 64, 895
67, 2, 999
44, 73, 888
48, 18, 888
61, 78, 888
79, 37, 894
28, 43, 898
68, 80, 999
46, 33, 889
45, 19, 898
57, 73, 888
34, 72, 891
53, 27, 898
70, 17, 890
59, 52, 888
68, 79, 999
21, 20, 894
66, 37, 894
62, 27, 898
12, 8, 888
6, 20, 889
68, 2, 999
15, 43, 895
17, 53, 888
20, 72, 890
53, 6, 893
40, 72, 892
45, 18, 891
58, 61, 888
8, 26, 888
12, 42, 895
65, 33, 892
69, 80, 999
29, 16, 895
62, 59, 894
40, 55, 891
69, 79, 999
73, 55, 897
55, 48, 889
75, 19, 892
13, 69, 895
37, 18, 892
60, 15, 895
3, 14, 895
10, 72, 888
39, 18, 888
69, 2, 999
2, 26, 891
57, 5, 898
78, 30, 896
48, 80, 892
23, 52, 892
75, 24, 897
56, 80, 891
23, 39, 895
24, 16, 888
70, 80, 999
12, 50, 889
39, 48, 890
51, 11, 897
70, 79, 999
17, 77, 896
6, 69, 889
10, 73, 888
50, 41, 897
70, 2, 999
53, 71, 889
69, 70, 892
63, 58, 895
31, 76, 897
73, 32, 891
50, 62, 889
57, 29, 895
36, 16, 895
71, 80, 999
28, 28, 890
22, 15, 898
57, 46, 894
23, 21, 895
54, 62, 894
55, 44, 893
29, 63, 896
42, 65, 898
65, 52, 896
44, 21, 894
71, 79, 999
24, 55, 898
48, 47, 897
59, 8, 892
9, 49, 892
60, 58, 891
71, 2, 999
39, 61, 888
40, 32, 894
56, 31, 891
47, 77, 894
4, 10, 894
67, 32, 891
2, 18, 895
13, 64, 892
2, 32, 896
72, 80, 999
50, 46, 888
36, 24, 896
45, 72, 888
36, 37, 891
72, 79, 999
52, 73, 889
28, 54, 897
36, 50, 893
19, 19, 892
40, 11, 894
72, 30, 896
10, 28, 892
62, 11, 890
37, 78, 898
62, 34, 892
72, 2, 999
5, 65, 892
54, 46, 891
55, 31, 892
12, 55, 890
52, 50, 892
75, 35, 893
13, 68, 888
35, 25, 895
63, 65, 889
13, 52, 890
73, 80, 999
16, 52, 893
48, 35, 889
35, 27, 888
22, 71, 895
41, 64, 897
18, 46, 890
3, 13, 893
55, 57, 894
11, 29, 894
73, 79, 999
49, 27, 892
7, 80, 890
55, 51, 893
57, 21, 888
68, 10, 896
5, 16, 893
5, 64, 892
73, 2, 999
24, 36, 897
56, 65, 890
71, 14, 889
8, 79, 893
35, 48, 894
23, 47, 895
5, 59, 894
4, 20, 897
21, 71, 893
74, 80, 999
6, 52, 895
31, 2, 898
69, 47, 896
9, 35, 891
36, 72, 898
47, 47, 890
2, 27, 889
74, 79, 999
2, 77, 890
19, 51, 889
23, 75, 896
79, 50, 898
74, 2, 999
41, 55, 893
76, 40, 889
54, 64, 892
75, 80, 999
5, 42, 893
49, 3, 897
15, 52, 897
12, 17, 898
20, 54, 896
4, 38, 889
15, 64, 896
25, 76, 892
75, 79, 999
38, 73, 894
3, 69, 892
59, 33, 892
26, 57, 895
65, 77, 890
62, 50, 890
6, 46, 891
75, 2, 999
29, 19, 897
31, 56, 890
59, 38, 897
55, 72, 892
46, 68, 890
51, 39, 898
37, 14, 895
75, 29, 894
28, 68, 896
76, 80, 999
29, 59, 892
13, 30, 893
26, 47, 889
75, 47, 897
14, 28, 891
60, 17, 891
76, 79, 999
55, 54, 888
17, 28, 891
74, 17, 888
76, 2, 999
75, 19, 896
5, 36, 889
40, 18, 894
24, 25, 891
18, 80, 896
67, 52, 888
47, 42, 889
17, 33, 889
40, 56, 889
77, 80, 999
47, 9, 898
35, 42, 889
52, 41, 890
25, 41, 894
73, 28, 892
76, 12, 898
11, 8, 889
77, 79, 999
55, 68, 894
27, 78, 889
79, 41, 895
18, 14, 891
30, 5, 897
2, 49, 893
7, 62, 888
31, 62, 892
41, 43, 890
11, 6, 888
77, 2, 999
72, 49, 890
31, 48, 891
52, 56, 893
70, 40, 888
70, 78, 898
67, 57, 889
80, 74, 889
20, 10, 888
79, 70, 893
78, 26, 891
78, 80, 999
29, 13, 894
41, 6, 895
80, 59, 897
77, 35, 889
52, 34, 892
14, 28, 892
78, 79, 999
20, 41, 888
70, 40, 888
37, 73, 896
11, 6, 889
78, 2, 999
30, 41, 888
73, 28, 889
9, 73, 898
14, 7, 893
79, 80, 999
46, 9, 888
66, 61, 895
77, 10, 895
76, 78, 898
71, 10, 891
27, 34, 895
79, 79, 999
63, 68, 892
70, 79, 888
64, 34, 896
7, 29, 889
30, 64, 895
25, 28, 896
23, 19, 894
79, 2, 999
76, 39, 890
11, 53, 898
55, 18, 889
